Daisy
aa9510,410,-190,aa7966,410,150
aa8707,370,330,aa4732,730,40
aa5274,330,480,aa2809,780,290
aa8688,180,740,,,
aa2103,40,960,,,
Rose
aa7463,320,220,aa9501,320,80
aa10012,320,30,aa8922,340,-90
aa8846,320,570,aa9000,490,660
aa4944,320,650,aa8992,580,550
aa4592,270,-80,aa9210,620,400
aa4534,270,620,aa9956,790,860
aa7096,270,330,aa8112,790,170
aa4537,270,420,aa7796,810,200
aa5650,250,140,aa8635,830,910
aa4121,250,-480,aa1500,840,130
aa1699,230,770,aa8914,860,390
aa2000,220,670,aa8151,880,120
aa378,220,120,aa4917,890,500
aa4045,210,380,aa4626,900,280
aa9357,210,-50,aa1021,910,770
aa2308,170,660,aa4536,920,190
aa4733,160,990,aa7566,920,830
aa8473,150,300,aa3616,930,910
aa505,110,370,aa4454,930,910
aa1247,100,20,aa8118,930,110
aa2562,55.5,950,aa4172,940,500
aa5537,55.5,60,aa3546,950,950
aa9223,10,300,aa5471,950,60
aa9530,10,970,aa4576,960,740
,,,aa7226,960,210
,,,aa5450,1200,360
Sunflower
Tulip
aa9967,760,150,aa9066,760,290
aa9935,530,40,aa8285,800,20
aa9052,520,410,aa9698,810,990
aa9799,510,1050,aa6926,890,620
aa9316,500,20,aa3176,890,80
aa9910,470,700,aa9755,900,20
aa8017,430,530,aa3937,900,880
aa8661,410,160,aa7347,900,390
aa7311,350,350,aa9085,900,100
aa8608,350,590,aa9729,910,450
aa9265,350,190,aa8806,920,910
aa9043,340,-30,aa6999,940,410
aa2402,330,420,aa2337,950,970
aa4564,300,540,aa8496,960,360
aa7485,300,150,aa6374,970,120
aa5564,290,460,aa7465,990,440
aa8544,290,-80,aa5226,1200,640
aa5681,290,-160,aa6575,1200,650
aa5613,290,210,,,
aa4095,250,390,,,
aa480,240,190,,,
aa4810,230,950,,,
aa2374,220,940,,,
aa3595,220,590,,,
aa8013,200,140,,,
aa4596,200,180,,,
aa8600,160,870,,,
aa9640,150,970,,,
aa8334,150,600,,,
aa8399,150,90,,,
aa8605,150,420,,,
aa1540,150,960,,,
aa1618,140,460,,,
aa1664,130,450,,,
aa9416,120,760,,,
aa8137,110,510,,,
aa5714,100,450,,,
aa4505,80,960,,,
aa7870,80,80,,,
aa1878,60,600,,,
aa4246,55.5,320,,,
aa369,50,310,,,
aa5400,50,30,,,
aa3775,30,620,,,
Lotus
aa8443,520,650,aa9625,860,290
aa9001,510,320,aa9798,890,510
aa7850,450,260,aa9772,920,910
aa9697,430,410,aa5282,1000,750
aa3738,420,10,aa2896,1200,560
aa7197,420,290,aa7203,1200,140
aa3674,410,280,,,
aa8734,360,160,,,
aa5090,330,910,,,
aa9385,310,910,,,
aa2615,310,150,,,
aa3648,310,690,,,
aa2787,310,-250,,,
aa8184,300,1000,,,
aa8497,300,980,,,
aa2473,250,360,,,
aa2377,230,780,,,
aa313,140,290,,,
aa9990,130,370,,,
aa7440,120,400,,,
aa1267,110,950,,,
aa7739,90,430,,,
aa6824,70,780,,,
aa7249,70,620,,,
aa1300,55.5,460,,,
aa2674,40,960,,,
aa4319,30,170,,,
aa1946,10,650,,,
aa3899,10,590,,,
Orchid
aa9996,700,430,aa9128,710,570
aa9981,660,80,aa9089,730,760
aa4182,430,240,aa8476,820,330
aa8554,400,310,aa8807,870,810
aa8874,360,-710,aa9162,870,840
aa1704,350,900,aa7106,900,590
aa927,350,740,aa7305,910,480
aa1382,320,220,aa9533,930,960
aa4800,310,550,aa10000,940,720
aa5136,310,30,aa8238,950,710
aa6486,310,470,aa981,1200,910
aa8023,300,400,,,
aa202,290,810,,,
aa5202,280,570,,,
aa2700,280,220,,,
aa6775,270,-40,,,
aa6027,260,820,,,
aa4212,250,300,,,
aa5378,250,670,,,
aa8942,230,990,,,
aa3275,210,600,,,
aa4557,200,-490,,,
aa4759,200,30,,,
aa3076,200,560,,,
aa6399,200,720,,,
aa9337,190,1440,,,
aa2159,160,840,,,
aa8850,160,440,,,
aa9534,120,800,,,
aa6383,110,350,,,
aa7734,110,-50,,,
aa1569,100,60,,,
aa1091,80,790,,,
aa1283,70,380,,,
aa5598,70,740,,,
aa8174,70,850,,,
aa9945,60,1000,,,
aa9136,50,230,,,
aa2908,20,290,,,
aa2998,20,400,,,
aa1767,10,430,,,
aa1957,10,590,,,
aa2517,10,770,,,
Iris
Lavender
aa9932,490,910,aa8800,770,70
aa2483,410,80,aa5739,830,260
aa4897,400,600,aa9903,860,260
aa6996,380,320,aa9855,870,210
aa5955,330,810,aa4328,880,270
aa424,300,660,aa3409,890,250
aa4196,290,540,aa3053,900,150
aa4726,270,870,aa5355,900,580
aa5726,260,210,aa9375,910,680
aa65,210,260,aa5634,910,220
aa89,210,260,aa8030,920,970
aa5194,210,130,aa1096,930,470
aa22,210,330,aa8982,930,610
aa2546,200,390,aa7562,930,780
aa6663,200,20,aa3573,930,620
aa5429,180,280,aa8102,970,930
aa6648,170,190,aa9821,970,940
aa7374,160,670,aa4229,980,20
aa6721,160,730,aa1031,990,230
aa2135,140,730,aa7513,990,950
aa8234,130,160,aa9503,1200,910
aa9412,130,50,,,
aa674,120,850,,,
aa1037,110,460,,,
aa6521,100,920,,,
aa4100,80,560,,,
aa6618,80,890,,,
aa896,70,190,,,
aa4008,60,150,,,
aa9078,60,370,,,
aa9446,60,480,,,
aa1225,55.5,620,,,
aa7954,55.5,40,,,
